Date,Category,Geography,Customer_Type,Sales,Revenue,Order_ID,Customer,Total_Amount,Status,Visits,Orders,Stage,Count,Traffic_Source,Session_Duration,Bounce_Rate,Pages_Per_Session,Product_Name
2023-03-04,Home & Kitchen,North America,Returning,792.55,624.09,6687,Customer_639,384.64,Cancelled,120,20,Visit,47,Direct,2.68,0.55,1.64,Product_3
2023-02-01,Electronics,Australia,Returning,587.45,147.03,3235,Customer_444,595.25,Pending,422,9,Visit,10,Social Media,9.16,0.32,4.74,Product_79
2023-01-19,Electronics,Asia,New,270.42,537.48,6043,Customer_624,297.79,Cancelled,364,41,Purchase,6,Social Media,4.32,0.09,1.33,Product_17
2023-01-29,Clothing,South America,Returning,444.6,228.63,4682,Customer_133,681.74,Completed,59,34,Visit,44,Paid Ads,1.06,0.64,8.29,Product_43
2023-03-12,Clothing,Australia,Returning,986.71,713.14,1496,Customer_313,934.28,Cancelled,139,21,Add to Cart,22,Paid Ads,2.92,0.58,2.07,Product_12
2023-02-13,Home & Kitchen,North America,New,43.08,104.27,3492,Customer_804,728.05,Cancelled,360,39,Add to Cart,63,Referral,9.9,0.51,1.25,Product_86
2023-01-17,Home & Kitchen,Asia,New,414.76,445.92,9329,Customer_152,944.51,Pending,387,39,Visit,36,Paid Ads,1.87,0.36,9.63,Product_93
2023-03-21,Home & Kitchen,Australia,New,328.24,248.95,2827,Customer_897,720.78,Cancelled,356,24,Add to Cart,94,Paid Ads,2.66,0.66,7.8,Product_95
2023-02-11,Toys,Asia,New,900.74,571.39,4576,Customer_738,246.2,Completed,90,35,Visit,89,Referral,2.86,0.94,3.61,Product_59
2023-03-13,Toys,Asia,New,821.45,903.29,1280,Customer_884,750.34,Pending,88,3,Visit,17,Paid Ads,8.09,0.76,5.56,Product_2
2023-03-08,Electronics,South America,New,158.8,598.02,5533,Customer_201,798.86,Completed,425,14,Add to Cart,3,Paid Ads,5.83,0.77,6.19,Product_31
2023-01-21,Home & Kitchen,South America,Returning,448.52,558.9,2791,Customer_497,537.07,Pending,278,2,Visit,99,Paid Ads,2.47,0.82,4.71,Product_25
2023-01-11,Home & Kitchen,Asia,New,463.3,492.95,7825,Customer_475,665.94,Pending,405,29,Add to Cart,20,Referral,8.6,0.28,1.23,Product_84
2023-01-04,Electronics,North America,New,526.02,214.96,6490,Customer_723,303.38,Pending,377,47,Purchase,95,Social Media,9.94,0.66,3.77,Product_76
2023-01-03,Books,Asia,New,821.16,791.22,7109,Customer_612,378.39,Cancelled,60,15,Purchase,7,Social Media,8.96,0.99,9.79,Product_87
2023-05-01,Clothing,Asia,New,940.33,694.65,8328,Customer_375,896.6,Completed,265,32,Add to Cart,10,Paid Ads,6.18,0.55,9.46,Product_91
2023-02-24,Toys,South America,Returning,398.86,608.72,4658,Customer_913,498.86,Pending,277,44,Visit,63,Referral,4.54,0.36,9.4,Product_14
2023-01-01,Home & Kitchen,Australia,New,865.06,385.83,2027,Customer_41,171.59,Completed,79,42,Add to Cart,39,Paid Ads,9.9,0.15,8.99,Product_37
2023-05-18,Toys,South America,New,232.31,313.94,5822,Customer_618,392.78,Completed,327,26,Purchase,46,Direct,4.72,0.35,7.86,Product_93
2023-04-03,Clothing,Asia,Returning,854.73,642.54,5928,Customer_906,150.96,Cancelled,468,36,Purchase,72,Direct,2.86,0.29,9.42,Product_32
2023-01-16,Toys,Asia,New,66.43,606.58,1906,Customer_584,744.93,Cancelled,148,36,Purchase,22,Paid Ads,9.33,0.3,1.62,Product_14
2023-01-31,Home & Kitchen,Australia,Returning,419.31,425.34,1112,Customer_322,486.35,Cancelled,436,32,Add to Cart,10,Organic Search,3.69,0.05,5.47,Product_3
2023-04-26,Books,Australia,Returning,578.84,401.0,5711,Customer_35,600.11,Completed,78,37,Purchase,91,Paid Ads,3.98,0.77,6.78,Product_25
2023-01-30,Home & Kitchen,North America,Returning,907.84,394.48,9019,Customer_844,954.92,Pending,53,23,Add to Cart,82,Social Media,6.96,1.0,1.65,Product_63
2023-02-06,Books,Europe,New,947.47,599.04,2311,Customer_499,580.07,Completed,227,28,Purchase,65,Paid Ads,7.29,0.33,5.5,Product_70
2023-02-26,Electronics,South America,New,490.06,479.5,4729,Customer_228,589.13,Completed,342,10,Visit,70,Direct,1.47,0.14,9.32,Product_48
2023-01-03,Toys,South America,Returning,673.0,288.72,1849,Customer_311,758.55,Completed,60,15,Add to Cart,9,Referral,1.65,0.78,6.02,Product_88
2023-01-07,Clothing,Asia,New,206.77,690.73,5737,Customer_580,431.22,Cancelled,320,44,Purchase,47,Direct,5.75,0.15,4.67,Product_75
2023-01-18,Home & Kitchen,North America,Returning,572.49,708.75,5186,Customer_305,888.63,Completed,263,26,Purchase,51,Referral,7.87,0.22,4.79,Product_55
2023-04-26,Electronics,Australia,New,665.98,839.77,2059,Customer_201,516.61,Completed,411,8,Visit,79,Paid Ads,7.2,0.18,9.02,Product_94
2023-01-12,Books,Europe,Returning,798.46,324.51,8158,Customer_144,426.39,Cancelled,148,16,Visit,56,Referral,2.77,0.92,9.17,Product_96
2023-04-27,Clothing,Australia,New,109.67,48.26,4790,Customer_567,539.52,Pending,150,30,Visit,63,Direct,2.44,0.96,9.29,Product_71
2023-03-17,Home & Kitchen,Asia,Returning,243.96,392.48,9296,Customer_49,380.44,Completed,425,36,Purchase,81,Direct,9.14,0.49,9.3,Product_13
2023-01-11,Electronics,Australia,Returning,949.54,434.88,8699,Customer_567,613.54,Cancelled,75,31,Purchase,10,Social Media,5.52,0.02,7.52,Product_36
2023-04-10,Clothing,Asia,New,138.89,847.06,6636,Customer_612,269.98,Cancelled,89,35,Purchase,57,Social Media,1.78,0.43,4.35,Product_80
2023-02-05,Clothing,Europe,New,887.55,97.57,9122,Customer_64,240.99,Pending,166,42,Add to Cart,27,Social Media,7.53,0.0,2.17,Product_48
2023-05-05,Books,Australia,New,650.87,973.91,4712,Customer_595,851.28,Pending,461,6,Purchase,54,Organic Search,9.81,0.62,2.26,Product_16
2023-01-11,Clothing,Asia,New,664.92,737.34,9095,Customer_876,574.75,Cancelled,122,17,Visit,77,Referral,7.24,0.13,1.7,Product_89
2023-02-17,Home & Kitchen,Asia,New,610.36,719.41,3886,Customer_212,103.06,Cancelled,363,17,Purchase,57,Organic Search,1.17,0.99,7.16,Product_39
2023-05-21,Electronics,Europe,New,969.35,418.47,7796,Customer_873,670.52,Cancelled,454,17,Purchase,91,Paid Ads,3.73,0.52,3.16,Product_42
2023-05-01,Books,Australia,New,931.67,268.26,5739,Customer_520,705.86,Pending,428,39,Add to Cart,71,Organic Search,9.75,0.61,6.66,Product_10
2023-03-07,Books,North America,New,838.28,791.08,2166,Customer_425,612.75,Pending,195,10,Purchase,17,Paid Ads,7.77,0.03,4.25,Product_43
2023-03-30,Electronics,Asia,New,995.26,569.28,3860,Customer_597,824.8,Cancelled,284,33,Visit,46,Organic Search,5.62,0.51,3.45,Product_34
2023-01-22,Home & Kitchen,Australia,New,651.53,492.64,8675,Customer_368,324.49,Cancelled,416,1,Purchase,80,Referral,1.31,0.85,1.87,Product_90
2023-03-18,Clothing,North America,Returning,557.21,408.5,1953,Customer_854,706.52,Pending,79,46,Add to Cart,20,Direct,5.29,0.09,5.14,Product_32
2023-01-26,Clothing,North America,Returning,420.08,399.83,9829,Customer_10,829.04,Completed,263,28,Purchase,36,Direct,6.23,0.83,1.26,Product_58
2023-04-24,Clothing,North America,Returning,409.65,459.42,6605,Customer_266,846.75,Completed,408,35,Purchase,22,Paid Ads,9.74,0.75,6.58,Product_46
2023-01-16,Home & Kitchen,Australia,Returning,985.45,486.0,9863,Customer_174,63.63,Pending,376,10,Visit,1,Organic Search,2.48,0.87,4.19,Product_99
2023-04-16,Home & Kitchen,North America,Returning,427.89,720.18,9220,Customer_908,352.37,Pending,238,3,Purchase,62,Direct,8.41,0.09,4.29,Product_72
2023-05-11,Home & Kitchen,North America,New,797.34,801.72,7232,Customer_428,382.89,Pending,71,39,Add to Cart,57,Paid Ads,2.56,0.13,8.64,Product_42
2023-03-28,Toys,Australia,Returning,374.46,38.51,1102,Customer_397,828.29,Pending,153,3,Add to Cart,22,Referral,1.67,0.97,4.42,Product_89
2023-04-13,Clothing,Asia,New,279.95,754.45,4510,Customer_764,412.77,Pending,292,16,Purchase,85,Referral,4.16,0.71,2.62,Product_64
2023-02-25,Books,Asia,New,78.75,595.04,2803,Customer_165,10.92,Pending,125,42,Add to Cart,66,Direct,7.75,0.19,5.89,Product_99
2023-01-31,Clothing,North America,New,721.23,611.36,5901,Customer_440,62.62,Pending,70,12,Visit,70,Social Media,7.55,0.71,5.68,Product_39
2023-04-04,Home & Kitchen,North America,New,335.34,950.56,7121,Customer_812,38.77,Cancelled,279,49,Visit,48,Direct,5.22,0.45,2.15,Product_54
2023-02-01,Clothing,South America,Returning,502.43,759.28,6500,Customer_595,645.34,Completed,362,38,Purchase,47,Direct,9.42,0.79,5.82,Product_32
2023-04-27,Electronics,Asia,Returning,396.4,976.06,5039,Customer_708,842.39,Completed,81,31,Add to Cart,56,Paid Ads,7.45,0.04,5.97,Product_98
2023-01-26,Electronics,Asia,New,687.91,193.0,6682,Customer_897,552.17,Completed,63,42,Add to Cart,58,Organic Search,7.63,0.42,9.43,Product_81
2023-02-01,Electronics,South America,Returning,206.75,459.5,1224,Customer_485,401.65,Completed,195,10,Add to Cart,86,Referral,1.16,0.14,8.06,Product_13
2023-01-26,Home & Kitchen,Asia,New,962.43,971.13,5868,Customer_180,856.94,Cancelled,214,6,Add to Cart,53,Organic Search,1.93,0.52,8.16,Product_50
2023-03-20,Toys,South America,Returning,440.48,296.67,1766,Customer_336,838.93,Pending,301,13,Add to Cart,73,Social Media,2.42,0.11,4.8,Product_6
2023-01-22,Home & Kitchen,Europe,New,374.46,894.42,6388,Customer_275,170.9,Completed,104,24,Purchase,48,Paid Ads,3.32,0.6,9.8,Product_1
2023-01-15,Toys,Australia,Returning,956.78,558.27,4921,Customer_436,545.1,Completed,115,45,Add to Cart,41,Paid Ads,5.16,0.47,3.71,Product_96
2023-03-17,Toys,Australia,New,733.9,69.49,6384,Customer_775,954.61,Pending,472,7,Add to Cart,23,Paid Ads,6.24,0.58,1.76,Product_76
2023-05-02,Electronics,Europe,New,915.96,127.83,3630,Customer_987,913.13,Pending,148,45,Purchase,35,Referral,6.0,0.98,1.13,Product_59
2023-01-04,Toys,Europe,Returning,949.12,274.73,8826,Customer_101,900.43,Cancelled,461,16,Visit,59,Organic Search,5.11,0.73,7.35,Product_54
2023-01-31,Toys,Europe,Returning,779.72,156.42,8371,Customer_382,491.99,Completed,249,20,Visit,15,Organic Search,9.86,0.05,4.84,Product_11
2023-01-20,Books,Europe,New,657.94,183.11,8085,Customer_127,254.02,Pending,473,14,Add to Cart,47,Paid Ads,9.81,0.4,9.1,Product_38
2023-04-10,Books,Asia,New,550.05,186.2,3069,Customer_623,622.69,Pending,230,50,Add to Cart,10,Direct,6.51,0.48,3.33,Product_38
2023-04-22,Clothing,Australia,Returning,889.94,173.09,7795,Customer_126,861.92,Cancelled,103,22,Add to Cart,41,Social Media,6.94,0.16,1.04,Product_56
2023-03-11,Clothing,South America,Returning,788.63,401.04,5915,Customer_527,185.16,Pending,326,49,Visit,53,Organic Search,6.02,0.98,4.79,Product_13
2023-03-02,Home & Kitchen,North America,New,884.27,285.88,4092,Customer_427,193.87,Pending,366,14,Purchase,61,Referral,2.11,0.82,6.42,Product_95
2023-01-16,Home & Kitchen,South America,Returning,555.54,529.82,8372,Customer_738,661.01,Completed,206,46,Purchase,6,Paid Ads,7.84,0.66,6.25,Product_11
2023-05-13,Toys,South America,Returning,282.94,29.12,4260,Customer_487,635.43,Completed,61,25,Visit,42,Direct,4.23,0.55,1.47,Product_23
2023-05-03,Clothing,Europe,New,346.79,351.18,9642,Customer_108,309.23,Cancelled,154,9,Visit,18,Social Media,7.14,0.05,6.49,Product_80
2023-02-19,Clothing,South America,New,230.28,923.7,4191,Customer_348,278.53,Completed,481,30,Add to Cart,20,Social Media,8.25,0.52,8.61,Product_45
2023-05-11,Books,Australia,New,517.81,140.91,2506,Customer_863,304.28,Cancelled,273,41,Visit,27,Organic Search,6.57,0.45,7.78,Product_25
2023-02-19,Books,North America,Returning,13.53,34.94,3987,Customer_831,221.04,Pending,346,1,Add to Cart,95,Organic Search,3.49,0.38,4.73,Product_73
2023-03-07,Electronics,Asia,Returning,830.44,38.27,3981,Customer_172,734.89,Completed,64,29,Purchase,26,Direct,1.27,0.04,1.76,Product_19
2023-05-24,Electronics,Europe,Returning,998.4,574.69,5759,Customer_733,401.69,Completed,225,24,Purchase,27,Direct,6.66,0.83,2.22,Product_25
2023-01-24,Clothing,South America,Returning,139.38,630.61,1926,Customer_850,582.18,Cancelled,388,3,Visit,79,Referral,5.49,0.38,4.32,Product_26
2023-02-05,Books,Asia,Returning,397.69,850.51,4802,Customer_10,870.87,Cancelled,225,9,Visit,7,Organic Search,4.88,0.54,6.17,Product_59
2023-03-12,Home & Kitchen,South America,New,755.74,303.94,7450,Customer_682,389.88,Completed,237,40,Add to Cart,79,Social Media,9.37,0.42,6.54,Product_76
2023-04-10,Electronics,Asia,New,80.73,78.43,4408,Customer_541,458.75,Cancelled,258,7,Add to Cart,59,Referral,7.76,0.82,2.11,Product_53
2023-05-03,Books,South America,Returning,31.01,951.9,4549,Customer_386,406.75,Pending,341,44,Visit,88,Referral,5.28,0.26,4.35,Product_23
2023-03-28,Clothing,North America,Returning,744.6,733.3,7129,Customer_68,254.87,Pending,395,38,Purchase,51,Referral,7.42,0.6,4.6,Product_1
2023-04-03,Home & Kitchen,South America,Returning,931.68,187.31,4832,Customer_269,334.68,Completed,265,38,Visit,73,Organic Search,4.02,0.48,1.82,Product_61
2023-05-25,Books,South America,Returning,609.9,986.69,7894,Customer_529,602.39,Pending,465,41,Add to Cart,28,Paid Ads,6.13,0.15,9.72,Product_36
2023-05-07,Toys,Australia,New,845.49,278.97,6517,Customer_896,699.62,Completed,324,35,Add to Cart,82,Social Media,3.1,0.89,4.78,Product_41
2023-01-08,Home & Kitchen,North America,New,550.44,618.4,5061,Customer_63,927.36,Completed,287,39,Visit,65,Organic Search,2.64,0.51,8.99,Product_26
2023-02-09,Clothing,Europe,Returning,255.7,764.17,4587,Customer_95,744.06,Completed,111,10,Visit,47,Paid Ads,3.81,1.0,4.62,Product_86
2023-04-24,Books,Australia,New,24.45,627.67,4232,Customer_959,844.85,Cancelled,116,24,Visit,77,Organic Search,4.33,0.98,1.73,Product_85
2023-05-15,Books,South America,New,765.84,52.07,9497,Customer_823,499.95,Pending,170,31,Visit,17,Organic Search,5.01,0.58,7.75,Product_51
2023-01-23,Books,North America,New,639.65,444.57,6058,Customer_323,729.12,Completed,315,47,Visit,99,Referral,1.39,0.44,3.27,Product_50
2023-03-30,Home & Kitchen,Asia,Returning,292.44,733.48,3048,Customer_857,159.81,Cancelled,179,24,Visit,19,Organic Search,1.8,0.32,6.18,Product_17
2023-04-30,Toys,Australia,New,71.9,779.89,6283,Customer_24,183.58,Pending,382,38,Visit,89,Referral,9.27,0.91,9.49,Product_68
2023-03-16,Clothing,South America,New,227.83,289.74,5988,Customer_68,494.81,Pending,324,36,Add to Cart,11,Organic Search,3.22,0.36,2.5,Product_50
2023-05-21,Toys,Australia,Returning,582.54,100.45,2042,Customer_932,995.91,Completed,192,45,Add to Cart,99,Social Media,4.41,0.06,1.54,Product_72
2023-03-17,Toys,Australia,New,719.87,674.23,9319,Customer_481,539.41,Cancelled,313,11,Purchase,75,Paid Ads,6.31,0.25,6.82,Product_57
2023-01-21,Clothing,Europe,New,520.14,44.09,3023,Customer_602,84.86,Cancelled,305,36,Add to Cart,20,Direct,4.54,0.54,9.66,Product_29
2023-03-10,Books,South America,New,551.22,206.27,9387,Customer_929,686.21,Cancelled,440,44,Add to Cart,7,Paid Ads,4.43,0.33,1.94,Product_71
2023-03-20,Toys,North America,New,939.87,471.65,5516,Customer_290,299.55,Pending,93,5,Purchase,66,Referral,7.44,0.31,6.51,Product_16
2023-01-10,Home & Kitchen,South America,Returning,637.18,479.32,2162,Customer_587,402.84,Pending,235,22,Purchase,35,Direct,5.73,0.88,5.22,Product_23
2023-03-13,Clothing,Asia,New,737.71,59.9,2523,Customer_479,978.5,Completed,480,20,Add to Cart,15,Social Media,8.86,0.19,8.22,Product_91
2023-04-07,Clothing,Asia,New,172.9,41.88,5561,Customer_780,461.04,Completed,204,47,Purchase,23,Referral,7.01,0.19,8.52,Product_16
2023-03-08,Toys,North America,Returning,996.89,195.04,5667,Customer_810,184.98,Pending,471,8,Visit,45,Social Media,1.75,0.57,10.0,Product_18
2023-04-26,Toys,North America,Returning,940.37,19.73,9222,Customer_588,75.05,Pending,261,30,Purchase,60,Paid Ads,8.43,0.42,8.67,Product_83
2023-05-22,Clothing,North America,New,527.87,556.93,2156,Customer_446,222.44,Pending,474,44,Visit,23,Organic Search,1.15,0.8,4.32,Product_90
2023-03-04,Home & Kitchen,North America,Returning,381.24,23.43,5209,Customer_225,65.32,Pending,226,8,Add to Cart,81,Organic Search,9.05,0.26,6.78,Product_90
2023-01-16,Electronics,Europe,New,379.9,830.98,4878,Customer_4,339.9,Pending,344,41,Visit,67,Social Media,2.76,0.95,7.22,Product_24
2023-03-31,Toys,South America,Returning,683.9,479.01,4396,Customer_894,744.59,Completed,357,11,Purchase,85,Paid Ads,9.85,0.3,7.13,Product_43
2023-05-27,Books,South America,Returning,633.77,458.24,2608,Customer_537,167.3,Pending,299,10,Purchase,27,Organic Search,7.62,0.5,2.7,Product_39
2023-02-10,Books,Asia,New,561.49,708.1,5197,Customer_911,395.87,Pending,483,24,Add to Cart,52,Organic Search,7.6,0.53,9.36,Product_41
2023-05-28,Toys,North America,Returning,62.9,712.36,3754,Customer_866,509.57,Cancelled,441,32,Visit,3,Referral,3.62,0.72,9.78,Product_42
2023-04-04,Toys,South America,New,31.71,770.62,8182,Customer_559,763.25,Cancelled,159,42,Purchase,80,Social Media,1.16,0.17,9.71,Product_31
2023-01-24,Books,Australia,Returning,461.82,981.54,5628,Customer_412,644.72,Completed,470,33,Purchase,77,Organic Search,8.64,0.78,9.23,Product_90
2023-03-29,Electronics,Europe,New,748.2,627.84,3965,Customer_187,174.09,Cancelled,492,2,Purchase,87,Organic Search,7.05,0.9,2.6,Product_1
2023-02-23,Home & Kitchen,South America,Returning,269.12,104.11,8693,Customer_713,253.89,Completed,200,4,Purchase,83,Referral,9.82,0.52,7.51,Product_2
2023-03-26,Electronics,North America,New,33.56,742.29,2081,Customer_763,508.19,Completed,443,48,Visit,15,Direct,9.48,0.2,1.1,Product_41
2023-04-19,Toys,Europe,New,268.09,634.55,6363,Customer_245,645.06,Completed,82,4,Visit,61,Social Media,6.86,0.7,9.39,Product_70
2023-01-06,Toys,Asia,Returning,991.13,346.26,9252,Customer_845,821.92,Completed,266,46,Purchase,61,Direct,7.53,0.35,7.08,Product_6
2023-03-14,Home & Kitchen,Australia,New,596.03,775.34,5575,Customer_438,872.31,Pending,91,27,Visit,80,Paid Ads,4.67,0.19,7.53,Product_52
2023-03-18,Clothing,North America,New,338.16,462.54,1146,Customer_680,546.27,Cancelled,58,32,Purchase,51,Referral,4.44,0.85,8.07,Product_93
2023-04-09,Clothing,Europe,New,377.84,821.83,1798,Customer_193,119.08,Pending,455,33,Purchase,93,Referral,9.19,0.28,8.97,Product_83
2023-05-29,Electronics,Asia,New,177.04,70.34,4583,Customer_504,880.55,Completed,219,30,Add to Cart,25,Organic Search,4.39,0.27,8.62,Product_7
2023-04-15,Toys,Asia,Returning,433.79,60.99,5613,Customer_209,117.23,Completed,291,33,Visit,4,Direct,6.51,0.65,6.83,Product_29
2023-03-16,Toys,Australia,New,332.89,737.94,9506,Customer_433,262.71,Completed,400,1,Visit,50,Social Media,1.24,0.14,3.02,Product_65
2023-05-28,Electronics,Europe,Returning,806.23,66.46,5161,Customer_598,265.26,Cancelled,171,40,Add to Cart,41,Paid Ads,5.98,0.35,1.53,Product_3
2023-05-19,Electronics,North America,New,880.48,588.6,6716,Customer_3,615.82,Completed,103,27,Visit,47,Organic Search,3.76,0.93,7.98,Product_3
2023-04-15,Home & Kitchen,Europe,New,276.19,669.14,4851,Customer_220,429.12,Pending,189,23,Add to Cart,62,Paid Ads,5.76,0.88,3.26,Product_81
2023-04-05,Electronics,Australia,Returning,622.85,344.32,5404,Customer_575,162.95,Cancelled,401,37,Add to Cart,41,Referral,8.21,0.96,7.06,Product_68
2023-02-05,Toys,South America,New,297.89,453.41,7622,Customer_902,400.41,Pending,217,31,Purchase,14,Paid Ads,1.13,0.61,7.97,Product_22
2023-03-16,Clothing,North America,Returning,714.83,241.38,8124,Customer_190,342.08,Completed,354,29,Add to Cart,66,Direct,6.03,0.3,2.58,Product_22
2023-01-05,Books,Australia,Returning,25.65,323.38,9596,Customer_111,49.46,Pending,307,50,Visit,74,Referral,9.67,0.73,2.7,Product_66
2023-01-09,Books,South America,New,266.65,734.85,1040,Customer_631,802.67,Completed,203,48,Purchase,52,Paid Ads,9.49,0.11,9.4,Product_89
2023-01-17,Books,Asia,New,259.81,425.87,4285,Customer_882,148.29,Pending,54,48,Add to Cart,99,Paid Ads,4.46,0.13,3.0,Product_57
2023-02-28,Electronics,Australia,New,759.85,667.66,7922,Customer_591,485.66,Pending,255,5,Add to Cart,71,Referral,1.89,0.39,1.18,Product_20
2023-02-15,Clothing,North America,Returning,349.7,913.78,6214,Customer_512,900.83,Cancelled,374,41,Add to Cart,47,Paid Ads,2.47,0.48,1.23,Product_15
2023-05-03,Electronics,North America,Returning,364.42,487.7,8095,Customer_428,236.45,Cancelled,335,49,Purchase,34,Paid Ads,8.83,0.21,8.24,Product_93
2023-04-19,Electronics,Europe,Returning,715.26,882.01,3713,Customer_603,555.63,Completed,127,31,Add to Cart,40,Organic Search,8.22,0.49,6.66,Product_82
2023-01-16,Clothing,North America,New,603.21,885.33,8993,Customer_399,525.47,Pending,154,23,Add to Cart,79,Paid Ads,6.96,0.71,7.67,Product_49
2023-03-24,Electronics,Europe,New,378.48,451.76,4931,Customer_964,784.63,Pending,358,25,Purchase,49,Organic Search,6.64,0.38,2.89,Product_40
2023-01-06,Electronics,North America,Returning,380.11,970.15,5008,Customer_272,766.55,Completed,225,1,Visit,33,Organic Search,7.44,0.51,4.5,Product_11
2023-01-11,Clothing,Europe,Returning,216.39,907.18,4275,Customer_643,364.86,Cancelled,307,29,Add to Cart,16,Social Media,1.83,0.18,7.54,Product_6
2023-04-07,Toys,Asia,Returning,440.78,603.01,1287,Customer_64,652.63,Completed,240,19,Purchase,35,Referral,8.19,0.63,8.06,Product_37
2023-04-01,Electronics,South America,Returning,18.3,277.39,7225,Customer_516,89.11,Pending,449,20,Add to Cart,9,Organic Search,6.8,0.16,9.74,Product_35
2023-02-10,Electronics,Asia,Returning,119.56,906.43,9065,Customer_185,220.8,Completed,194,45,Visit,100,Referral,3.37,0.13,7.43,Product_85
2023-02-17,Toys,North America,Returning,284.52,339.94,5526,Customer_314,74.09,Completed,238,25,Visit,53,Social Media,8.58,0.9,9.24,Product_57
2023-04-05,Clothing,Australia,Returning,475.3,66.79,9532,Customer_980,372.18,Completed,242,31,Visit,12,Referral,6.1,0.43,7.74,Product_1
2023-03-20,Books,North America,Returning,472.1,114.93,2424,Customer_827,377.23,Pending,486,29,Purchase,81,Social Media,2.38,0.17,5.73,Product_6
2023-01-28,Toys,North America,Returning,829.79,143.3,8021,Customer_184,115.16,Cancelled,466,4,Purchase,54,Paid Ads,3.52,0.05,7.59,Product_56
2023-02-09,Electronics,Europe,New,545.01,86.26,7372,Customer_519,685.3,Completed,132,16,Visit,70,Referral,7.22,0.08,1.95,Product_83
2023-01-22,Books,Asia,New,371.9,715.35,2029,Customer_812,680.74,Pending,283,23,Purchase,89,Social Media,3.16,0.39,7.31,Product_71
2023-04-01,Clothing,Europe,Returning,899.49,642.18,5124,Customer_802,149.13,Pending,237,42,Visit,54,Organic Search,1.29,0.39,4.3,Product_78
2023-04-05,Books,South America,New,179.08,918.05,1297,Customer_293,260.86,Completed,484,27,Visit,54,Paid Ads,9.64,0.41,8.28,Product_82
2023-02-24,Home & Kitchen,Asia,Returning,395.82,150.08,4412,Customer_347,521.55,Pending,152,50,Purchase,99,Direct,4.83,0.94,8.09,Product_98
2023-03-25,Books,Asia,New,900.89,740.3,2617,Customer_305,34.0,Pending,62,24,Purchase,61,Organic Search,4.99,0.81,6.88,Product_27
2023-03-07,Clothing,Australia,Returning,210.13,477.89,1191,Customer_460,838.6,Completed,278,40,Purchase,89,Referral,4.27,0.03,6.64,Product_13
2023-01-24,Home & Kitchen,Australia,Returning,89.23,445.29,3623,Customer_994,999.13,Cancelled,177,4,Add to Cart,45,Organic Search,3.31,0.23,6.11,Product_77
